"","district","upazila","union","date","hpa_id","demo_gender","demo_educ","license","license_who","invest_amnt","invest_self","invest_bank","invest_mfi","invest_family","invest_partner","revenue","train_yn","train_maxwashi","train_maxwashii","train_wb","train_ide","train_asa","train_other","serv_growth","serv_businessmodel","serv_ancpnc","serv_other","mou_le","mou_wholesaler"
"75","Khulna",4712,471283,2018-07-01,94,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"76","Khulna",4730,473006,2018-07-01,95,"F","Secondary",0,NA,400,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"77","Patuakhali",7852,785242,2018-07-01,97,"F","Secondary",0,NA,1500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"78","Khulna",4730,473040,2018-07-01,98,"F","Read & write",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"79","Satkhira",8790,879079,2018-07-01,99,"F","Higher",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"80","Barguna",409,40963,2018-07-01,100,"F","Secondary",1,"Union Parishad",500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0
"81","Khulna",4712,471235,2018-07-01,101,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"82","Patuakhali",7895,789533,2018-07-01,102,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"83","Khulna",4712,471259,2018-07-01,103,"F","Secondary",0,NA,700,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"84","Patuakhali",7857,785767,2018-07-01,104,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"85","Jessore",4104,410442,2018-07-01,105,"F","Higher",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
